customer_id,full_name,email,phone,city,loyalty_points
CUST1000,Arjun Sharma,ishita.shah834@gmail.com,5157281880.0,Surat,
CUST1001,Arjun Sharma,ishita.kulkarni493@gmail.com,1790139012.0,Surat,138.0
CUST1002,Ishita Nair,kabir.kulkarni532@gmail.com,,Delhi,130.0
CUST1003,Rohan Sharma,priya.shah127@gmail.com,203432336.0,Ahmedabad,
CUST1004,Anaya Patel,,5215387997.0,Bangalore,101.0
CUST1005,Suersh Das,ishita.kulkarni4@gmail.com,2687604277.0,Ahmedabad,90.0
CUST1006,Arjun Das,sneha.kapoor715@gmail.com,5483344728.0,Jaipur,114.0
CUST1007,Kabir Kulkarni,anaya.kapoor90@gmail.com,1187807991.0,Ahmedabad,187.0
CUST1008,Rohan Kulkarni,anita.kapoor786@gmail.com,8750596778.0,Bangalore,98.0
CUST1009,Anaya Gupta,rahul.khan70@gmail.com,6965956274.0,Chennai,115.0
CUST1010,Sneha Singh,aarav.shah253@gmail.com,6660390792.0,Jaipur,
CUST1011,Aaarv Reddy,priya.sharma683@gmail.com,8619683897.0,Ahmedabad,31.0
CUST1012,Sneha Nair,anita.reddy102@gmail.com,4430784858.0,Bangalore,101.0
CUST1013,Anita Khan,arjun.khan277@gmail.com,1565784015.0,Delhi,351.0
CUST1014,Priya Singh,suresh.kulkarni3@gmail.com,5083501890.0,Bangalore,89.0
CUST1015,Diya Kulkarni,kabir.shah849@gmail.com,3027419741.0,Delhi,210.0
CUST1016,Priya Gupta,ishita.kapoor996@gmail.com,5721397850.0,Mumbai,67.0
CUST1017,Rahul Kahn,anita.gupta180@gmail.com,8598509533.0,Mumbai,52.0
CUST1018,Kabir Reddy,rohan.kulkarni643@gmail.com,2284507517.0,Chennai,92.0
CUST1019,Priya Patel,rohan.sharma728@gmail.com,7872935437.0,Mumbai,
CUST1020,Arjun Das,anita.nair175@gmail.com,3359267932.0,Delhi,111.0
CUST1021,Rohan Patel,anita.sharma500@gmail.com,2536206888.0,Delhi,63.0
CUST1022,Anita Patel,rohan.singh436@gmail.com,5166603127.0,Surat,133.0
CUST1023,Anita Khan,arjun.sharma67@gmail.com,4776092431.0,Bangalore,
CUST1024,Rahul Kapoor,suresh.singh711@gmail.com,3984196563.0,Surat,41.0
CUST1025,Mira Nair,arjun.khan335@gmail.com,3429434835.0,Ahmedabad,70.0
CUST1026,Priya Gupta,suresh.kapoor414@gmail.com,6570181302.0,Jaipur,125.0
CUST1027,Kabir Singh,aarav.khan529@gmail.com,986571195.0,Pune,74.0
CUST1028,Mira Kulkarni,anaya.shah460@gmail.com,5774323083.0,Surat,
CUST1029,Rohan Gupta,kabir.gupta442@gmail.com,1129948244.0,Hyderabad,137.0
CUST1030,Anaya Das,kabir.patel343@gmail.com,1676755253.0,Surat,353.0
CUST1031,Aarav Shah,arjun.kapoor213@gmail.com,8938193083.0,Pune,
